ebene_resultat;wahl_jahr;geoLevelName;kanton_nummer;kanton_bezeichnung;gemeinde_nummer;gemeinde_bezeichnung;partei_id_red1;partei_bezeichnung_de;partei_bezeichnung_fr;partei_bezeichnung_it;partei_bezeichnung_en;stimmen_partei;letzte_wahl_stimmen_partei;differenz_stimmen_partei;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;letzte_wahl_anzahl_gewaehlte;letzte_wahl_anzahl_gewaehlte_f;letzte_wahl_anzahl_gewaehlte_m;differenz_anzahl_gewaehlte;differenz_anzahl_gewaehlte_f;differenz_anzahl_gewaehlte_m;fiktive_waehlende;letzte_wahl_fiktive_waehlende;differenz_fiktive_waehlende;partei_staerke;letzte_wahl_partei_staerke;differenz_partei_staerke;flag_staerkste_partei;partei_rang
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;16;EDU;UDF;UDF;EDU;77;158;-81;;;;;;;;;;;;;;;;;1.463878327;3.4917127072;-2.02783438;0;8
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;31;GLP;PVL;PVL;GLP;222;336;-114;;;;;;;;;;;;;;;;;4.2205323194;7.4254143646;-3.204882045;0;6
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;34;Mitte;Centre;Centro;Centre;797;607;190;;;;;;;;;;;;;;;;;15.152091255;13.414364641;1.7377266139;0;2
Gemeinde;2023;Bussnang;20;Thurgau;4921;Bussnang;35;Übrige;Autres;Altri;Others;142;;142;;;;;;;;;;;;;;;;;2.6996197719;;2.6996197719;0;7
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;1;FDP;PLR;PLR;FDP;639;603;36;;;;;;;;;;;;;;;;;10.716082509;10.497910864;0.2181716453;0;3
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;3;SP;PS;PS;SP;568;626;-58;;;;;;;;;;;;;;;;;9.5254066745;10.898328691;-1.372922016;0;4
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;4;SVP;UDC;UDC;SVP;2622;2257;365;;;;;;;;;;;;;;;;;43.971155459;39.293175487;4.6779799712;1;1
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;7;EVP;PEV;PEV;EVP;143;150;-7;;;;;;;;;;;;;;;;;2.3981217508;2.6114206128;-0.213298862;0;7
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;13;GRÜNE;VERT-E-S;VERDI;GREENS;402;386;16;;;;;;;;;;;;;;;;;6.7415730337;6.7200557103;0.0215173234;0;6
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;16;EDU;UDF;UDF;EDU;93;123;-30;;;;;;;;;;;;;;;;;1.5596176421;2.1413649025;-0.58174726;0;9
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;31;GLP;PVL;PVL;GLP;496;718;-222;;;;;;;;;;;;;;;;;8.317960758;12.5;-4.182039242;0;5
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;34;Mitte;Centre;Centro;Centre;896;881;15;;;;;;;;;;;;;;;;;15.025993627;15.337743733;-0.311750105;0;2
Gemeinde;2023;Märstetten;20;Thurgau;4941;Märstetten;35;Übrige;Autres;Altri;Others;104;;104;;;;;;;;;;;;;;;;;1.744088546;;1.744088546;0;8
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;1;FDP;PLR;PLR;FDP;3027;2381;646;;;;;;;;;;;;;;;;;12.605671928;11.691053717;0.9146182107;0;3
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;3;SP;PS;PS;SP;2485;2864;-379;;;;;;;;;;;;;;;;;10.348561196;14.062653442;-3.714092246;0;4
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;4;SVP;UDC;UDC;SVP;8584;6392;2192;;;;;;;;;;;;;;;;;35.747303544;31.385642738;4.361660806;1;1
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;7;EVP;PEV;PEV;EVP;723;734;-11;;;;;;;;;;;;;;;;;3.0108691126;3.604045959;-0.593176846;0;8
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;13;GRÜNE;VERT-E-S;VERDI;GREENS;1904;1757;147;;;;;;;;;;;;;;;;;7.9290384375;8.6271236374;-0.6980852;0;6
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;16;EDU;UDF;UDF;EDU;746;879;-133;;;;;;;;;;;;;;;;;3.1066505643;4.3160168909;-1.209366327;0;7
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;31;GLP;PVL;PVL;GLP;2268;2272;-4;;;;;;;;;;;;;;;;;9.4448840212;11.155847982;-1.710963961;0;5
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;34;Mitte;Centre;Centro;Centre;3772;3087;685;;;;;;;;;;;;;;;;;15.708158081;15.157615634;0.5505424471;0;2
Gemeinde;2023;Weinfelden;20;Thurgau;4946;Weinfelden;35;Übrige;Autres;Altri;Others;504;;504;;;;;;;;;;;;;;;;;2.0988631158;;2.0988631158;0;9
Gemeinde;2023;Wigoltingen;20;Thurgau;4951;Wigoltingen;1;FDP;PLR;PLR;FDP;370;348;22;;;;;;;;;;;;;;;;;7.7519379845;8.0018395033;-0.249901519;0;4
